author,text,likes,published_at
@Isajiloinvestingsathi,Jaknu paryo eslai ra KP oli lai,3,2025-09-19T20:48:03Z
@deepakkadayat5064,😂😂😂,0,2025-09-19T17:57:14Z
@testrobot-e3m,Kanun Vanda mathi koiii hunnna,3,2025-09-19T15:05:13Z
@testrobot-e3m,......,0,2025-09-19T15:04:45Z
@testrobot-e3m,Khatra racha yo Manche Haitttt,2,2025-09-19T15:04:34Z
@MegaGehendra,Mahesh will have a cruel ending in his life....,5,2025-09-19T10:47:45Z
@halloffame481,Yeslai XODNU hunna . Xitto vanda xitto jail hal,1,2025-09-19T08:24:47Z
@DaldaleBranch,",,,,,,,,,,,,,",0,2025-09-19T05:36:39Z
@GovindapaudelGovinda-d1l,साला बलत्कारी,0,2025-09-19T04:59:51Z
@shreedharrawat5378,अब बस्नेत केटोलाई खसी बार्नुपर्छ  हैं😁😁😁,2,2025-09-18T05:45:58Z
@mrHonitti,Yaslai xadnuhunna hai,1,2025-09-18T05:08:52Z
@realobserver-i7p,कुकुरहरू हुन एमाले र कुकुर हो महेस बस्नेत,0,2025-09-18T05:01:12Z
@rajshrestha6147,Yeta yestai harulay des banaucha yestai Lia khoje khoje thoknu parne aajai yeskai pache pache kholay lageko cha aabata sudra jholay bhanauda haru,0,2025-09-18T02:09:48Z
@AashishKaji,Resume this case,0,2025-09-17T19:59:37Z
@Tejashwirana,Oli ko daine geda ho yo Mahesh ....,1,2025-09-17T05:23:35Z
@TankarRai,Balatkari raxash vogate khate rip rip rip,0,2025-09-17T00:16:22Z
@RudraKapachaki,Mages kukurlai thoknaiparxa,1,2025-09-16T11:25:37Z
@yatri063,??,0,2025-09-16T05:38:25Z
@BhupenderKandel,kehi hudaina aemale ka nyaydhis nyaylaye ma xan nyay to chodnu to aaimelai marera kata falxan tha puni hunna ..nirmala pant marni puni aemale ka meyer thiye ahile samma nyay milena ani kahilai puni mildena..yo deshko janatalai nyay dini adalat sarkar ko bandhak ho😡,0,2025-08-05T11:31:49Z
@suryaprasaddhakal9187,Balla thaha paunu bho?,1,2025-07-04T16:38:12Z
@balrajpradhan9881,OLI  JI  MAHESH  BASNET   BHAI   KO  FASI  DO ..❤❤,1,2025-07-04T03:36:22Z
@sagarpokhrel2453,yo dalal kp ko HaLe Ho,0,2025-07-02T14:51:51Z
@sapanakhatri3601,कुयकाे  यमाले  रहे छ  पापि,1,2025-07-01T02:36:29Z
@SaugatJungBasnet,Yo mahesh lai aba jeudai aago ma haleyra jalaunu parxa,2,2025-06-30T06:19:41Z
@TejindraChattri,Sala boko balatkari,0,2025-06-04T19:29:07Z
@LaxmipatiPoudel,amale ma daka balatkari ggunda fataha bijeti toyake dale  matra kina hunchan.kp jee,0,2025-05-30T09:41:47Z
@NabinAcharya-w9r,Karbai garr halnu parxa yesto choor lai,0,2025-05-27T17:52:00Z
@santoshkhatri1465,चोर महेसे,0,2025-05-26T03:41:18Z
@diwakarjung8107,यो बलात्कारि ले बालेन र हर्क सम्पङ लाई सिकाउछ,0,2025-04-20T09:22:00Z
@durgaprasadbhandari195,"ओलीको वरिपरि सबै गुण्डामात्रै छन् , अझ पार्टी अध्यक्ष र कार्यकारी भएको छ।",4,2025-04-16T09:49:41Z
@BhumikasunarSunar,Police khate chor haru le ke garna sakdaina,0,2025-04-06T16:10:28Z
@Bijayathapa14,एमाले बलात्कारी कै पार्टी रहेछ।,0,2025-03-30T10:34:58Z
@SumanDrivingCenter-z8d,यो देशमा नियम कानुन छ ??,1,2025-02-24T11:41:34Z
@Messiii16,"Suppose uml is hiphop of uml ,industry then mahesh basnet is dd .only smart mind people understand",0,2025-01-29T05:18:52Z
@RajuLamichha,कुरा एस्तो पो,1,2025-01-25T16:38:02Z
@khemapandey3847,Omg thukka,1,2025-01-20T10:24:33Z
@LachhinLachhin,होइन यो मान्छेले त बालेन्सलाई फु गरेर उडाउने भन्ने मान्छे होइन र,1,2024-09-14T13:06:11Z
@anilshakya9704,"खोइ त ,कानुन ले छुनै नसक्ने रहेछ त,कानुन भन्दा माथि रैछन त ?",1,2024-09-12T10:21:54Z
@yubrajpandey3948,अब उस्तै परे अर्को चुनावमा नेपालीहरुले यिनै महेश  बस्नेतलाई जिताई दिन्छ्न।।,8,2024-06-06T23:57:39Z
@sikasbkoju3715,"Ani tyo kti chain aafule aafulai euta sadhan jasari prastut  garne chai kasto hola taw ?? Tarika ho?? Tyo kti lai chai karabahi garna jaruri dekhincha. Aajkal ko kti aaimoi haru nikai chada, aapatijanatmak ra hinsa tira lageko mahasus hudai cha. Kti chai kosto hola taw aaba , jati kheri ni purus kai dosh jasari kura garcha taw yo news media haru. Alik aakal bhanney kura chaina ki kya ho. Beyman haru",1,2024-05-12T06:52:08Z
@TulsiRam-g4s,Laj pacheko naccharo,1,2024-05-10T08:03:41Z
@BharatLama-k6l,यो भलु को चरीत्र  ठिक छैन,0,2024-05-09T13:17:31Z
@nirajyakkha9272,बल्ल पर्यो निरमाया जालैमा 😂,2,2024-05-06T14:13:00Z
@ohmyvlogz,Fataha,1,2024-05-06T03:14:12Z
@amingurung9130,jail hoss  fatata,1,2024-05-05T04:47:04Z
@blackdiamond2384,"खेलादी कलाकार लाई त खोर मा हाली हालछन बलात्कार मुद्दा मा यसलाई चाही के गर्छ हर्न पर्छ,,,,,😂😂😂",0,2024-05-05T01:49:02Z
@premrijal5596,बोका रहिछ,1,2024-05-02T13:01:59Z
@LokendraRai-x6p,ठीक गर्यो डाका लाई,2,2024-05-02T09:06:49Z
@JayShambhu-y9t,यो देशमा पुरुश धेरै पिडित छन ।,0,2024-05-02T08:42:06Z
@kumarlama6287,subscribe done,0,2024-05-02T08:17:09Z
@rajukafle5757,Herum na ta karbai gareko. Don lai.,1,2024-05-01T06:12:13Z
@namsangrailimbu2351,Kp oli ko jhunda yestai yestai patra milera baneko x,1,2024-05-01T02:21:46Z
@namsangrailimbu2351,Kamlish yestai hun😂,1,2024-05-01T02:18:19Z
@narensaud1566,yaslai ni gel ma kochnuparyo,1,2024-04-30T13:03:23Z
@arjunlimbu5130,सन्दीप लामिछाने को ठाँउ मा येस्ता पक्का पक्की बलात्कारि लाई चाहिँ जेल कोच्नु परो ।,0,2024-04-29T07:16:52Z
@allareketoo,यस्लाई नि सडाउनु पर्छ अब,1,2024-04-28T06:32:25Z
@suryagautam188,"Yo Khadake and Company's ko Schooling bata prasikachita vayera aayeko Vrastra ,  Dalala Balatakari , Gunda ko karma anusara ko fala kada vanda kada kanuni karabahi gari Gunda raja ko anteya garnai parxa.",1,2024-04-26T12:46:10Z
@sanubhiesarestha3054,कुकुर  मुजि  महेस,1,2024-04-22T05:12:35Z
@HariChandraMaharjan-xu6ek,येहि महिल खराब जस्तो लाग्यो,0,2024-04-21T17:46:31Z
@Sudanonlinetv2024,होइन यो महेश डाकॉलाई प्रहरिलें किन समाऊदैन 😮,1,2024-04-21T04:27:35Z
@RaiKeziah,"Yo aimai lay poison kamawo,ni bani parents ki hoo",0,2024-04-20T18:13:11Z
@RaiKeziah,31 barsa coinage yo aimai user ghatai ki hoo,0,2024-04-20T18:11:36Z
@BikramLama-v4j,e  raj kaj  garne  yamaly  sab  rando jyl  halnu  parx,0,2024-04-19T16:35:45Z
@tunrishing227,किना मुख छोपेको ता महिलाको,1,2024-04-19T12:52:10Z
@kesharparajuli782,Kura k ho 😮,1,2024-04-18T04:50:00Z
@informationsansar3148,Mahesh lie na bhako fasi ni dinu parxa yesta gunda lie khuleyam bachna dine nai haina,0,2024-04-18T03:25:31Z
@kapilpoudel8452,ma ta vanxu kt ko galti xa.....dherai baisa chalesi yestai hunxa !,0,2024-04-15T05:27:44Z
@sanulimbu7522,Aba mantri banne package vho hai,0,2024-04-14T14:58:54Z
@shyamshrestha4491,एमाले काे के पि वलि काे झाेले महेश बस्नेत् भू माफिया मात्र भनेकाे त महिला माफिया पनि रहेछ सहि प्रमाणित भएमा जेल मा सडावस् यस्ता पिचास पृथ्वी कै बोझ हुन।,3,2024-04-13T10:51:52Z
@naresharyal3234,Yasta lampat le CPN UML lai hakirakheko xa!!!,1,2024-04-12T16:15:47Z
@bhagawotiaryal6735,Bicara arule ramaro  kamagareko na dekhane   mahes lai  kadakarabai hunu paraxa,1,2024-04-12T05:21:56Z
@krishsapkota1240,...........,0,2024-04-12T00:38:42Z
@krishsapkota1240,...........,0,2024-04-12T00:38:30Z
@krishsapkota1240,..........,0,2024-04-12T00:38:17Z
@anilshakya9704,"अहिले त चुं सम्म गर्दैन त😂 बोलती नि बन्द भो त ,खुब दादागिरी देखाउदै हिड्थ्यो,छुद्र बोल्दै,छुद्र व्यबहार देखाउदै कहिले रबिलाइ,कहिले बालेन लाई कहिले दुर्गा प्रसांइ लाई खेदो खन्थ्यो त,आखिर् एक नारिले खत्तम पारिदियो त्यो सबै ,कत्रो घमण्ड ,कत्रो दम्भ,कत्रो अहम थियो हगि?  बस्नेत काजी बाट पाजी मा झर्यो,कुन दुलो भित्र छिरेछ,चुं पनि गर्दैन त अहिले ,समय सबैभन्दा बलवान् हुदो रैछ,उसको समय बलियो हुँदा कमता मातिएको पात्तिएको थियो त? आम्माम्म्माम ! भुइं न भाडांको भएर पात्तिएर राम्रै खपिनसक्नु भाको थियो,बिचरा!अब चाडैं नै जेल जान्छन् होला।",2,2024-04-11T12:59:23Z
@nagendrapoudyal8124,Chor kamaunist desh lootyo ani dhan turani rakshi ma sakiyo vrasta dalal balatkari kukur,0,2024-04-11T11:07:41Z
@dronbikrammalla5665,उखानेको गु खाने तेरा दिन गए अब,0,2024-04-11T05:54:13Z
@kajigajmer4154,Kp oli le jogauxa mahesh lai khi hunna,1,2024-04-11T04:03:12Z
@bnsuppliersSuppliers,यो महेस भन्नी पात्र गतिलो त होइन नि,1,2024-04-11T02:18:31Z
@DipendraBista-sc2cv,Very good,1,2024-04-10T17:17:48Z
@tilakkarki2729,Durga le vaneko sahi rahexa,1,2024-04-10T09:06:22Z
@Dless223,Ukhani KO ta chauro.. randi baz nalle don .,0,2024-04-10T07:41:48Z
@Kabaddiseries1234,Female bhangresh khaubadi yiniharuko patta sapha hunuparcha,0,2024-04-10T07:38:43Z
@amirthapamagar4954,Yo desh ma chor fatha gunda ani taskar haru matra chan hou k garnu dukha lakcha.,1,2024-04-10T07:38:02Z
@JasmanLama-m3y,"Herdai yo basnet muji chor, fataha lag6",0,2024-04-10T06:45:56Z
@SidhaKura_,समाचार पढ्न : https://sidhakura.com/news/Gn4WVU-2024-04-09-034103,7,2024-04-10T05:24:08Z
@USAjaynepal,😂😂😂😂😂😂😂??????😂😂😂😂😂,0,2024-04-10T05:13:38Z
@MohanChand-hd5nb,Rabi ma tyo dam xain  kinaki KP ko jhole vai sakyu Rabi,0,2024-04-10T05:12:50Z
@nepalnepali49,"सन्दीप आफै गिरफ्तारि दिएर नेपाल आउदा तस्करी , हत्यारालाइ जस्तो हत्कडि लाएर कतिन ठुला भ्रष्टाचारिलइ समातेको जस्तो गरेका थिए त अहिले यि नेताहरूलाई गिरफ्तार गर्ने त कता हो कता सोधपुछ गर्ने हिमम्म्त पनि गरेन नेपाल प्रहरीले।",3,2024-04-10T03:32:22Z
@madhusudan1170,Oli ko gu puxne jholey ehi gundo ho ..,0,2024-04-10T03:16:09Z
@BuddhiYdv-o1v,"Dhukka hunus mahesh g lae khi hudaina, kina ki waha hamro desh ko neeta g jo ho.... Kathai mero desh 😢😢",1,2024-04-10T02:33:07Z
@beyondinfinity3876,थुइक्क चुतिया डाका गुन्डा भ्रस्टचारी।,1,2024-04-10T00:21:08Z
@SamipAdhikari-s4v,अब हजुर बाट युवाले के सिक्ने महेश दाई😂😂😂,2,2024-04-09T23:20:00Z
@Shahidai-w3h,मानव 😂😂 रे,0,2024-04-09T22:59:03Z
@rajjungbasnet1945,Mahesh fataha manxeaa hoa,2,2024-04-09T21:30:57Z
@keshargurung8063,कडा कारबाही हुनुपर्छ यो अपहरणकारि गुन्डा नाइके महेशेलाई।,0,2024-04-09T21:06:25Z
@lokendrabam2409,ओरेली काडैले भन्थे दुर्गा प्रसाइ ले हो रैछ,1,2024-04-09T20:12:41Z
@dipak.thapa2736,यस्ता अपराधीलाई देश बनाउने जिम्मा दिने जनता भेडा हुन।,3,2024-04-09T20:07:53Z
@YouthCare01,हग्गु बस्नेत 😂😂😂😂,1,2024-04-09T18:33:45Z
@balkrishnagaire8663,घैटे भनेसि नाङ्गै भयर दे दनादन गरिरारहेछ😂😂😂बिचरा बुडि अनि छाेरा छाेरिले के साेचेहाेलान घैटे काे सानाे भाेगटे देखेर😂😂😂,1,2024-04-09T16:47:40Z
@kamalbhandari8825,नेता जिले जस्तोसुकै अपराध बेइमानी गरेपनी केही फरक पर्दैन भोगटे बस्नेतको ठाउँमा अर्को कुनै ब्यक्ती भैदिएको भए आरोप लगाएकै आधारमा हातमा हत्कडी लगाएर जेलमा कोची सक्थ्यो बिस्तारबादी साम्राज्यबादिको सरकार ले,14,2024-04-09T16:39:14Z
@kbadhikri8418,राष्ट्रिय बोका,1,2024-04-09T16:31:50Z
@docdon,Thutuno ra mutuno lai thau ma rakhna sakena bhane ki jakinxa ki sakinxa.,1,2024-04-09T15:35:52Z
@Rameshbaduwal4257,😂😂😂😂😂😂😂😂 बिचरा बस्नेत  काका🤣🤣,1,2024-04-09T15:13:35Z
@RameshRamtel-k7p,"यो देशमा पुरुष बाच्न गाह्रो छ है अब मन मिलुन्जेल केही हुदैन 4,5 बर्ष सम्म",0,2024-04-09T15:09:30Z
@creatorgg4078,Gunda nai ho ni yo kamunsit daka,0,2024-04-09T14:45:41Z
