author,text,likes,published_at
@FredF-u9n,"म हुँ H साँप; मेरो party / पद / popularity / level / class  धेरै उच्च छ; म संसद् hall भित्र हुँदा कुनै पनि हालतमा (any time, any how ) Prime Minister (फुच्चे नाथे Balen) पनि संसद् भित्रै हुनैपर्छ; नत्र बहिष्कार🤬! महान् H साँपलाई हेप्न पाईँन्छ? 😂",0,2026-05-14T08:07:48Z
@BuddhaLamaflute,Harke mula lai kasaile chadkan hanana,0,2026-05-14T08:05:18Z
@hemaryal,"लाजको मर्नु बोलिरहेको आगोमा पेट्रोल हालिएको छ बालेनले आफ्नो अध्यादेश पनि पढेर सुनाउ सक्दैन। 
प्रधानमन्त्री कस्तो खालको हो, कमसेकम रबि सम्म सल्लाह लिएर काम गर्न प्रयो। 
खगेन्द्र सुनार संग कसरी बोल्ने भनि ३ मैना कोर्ष लिन जरुरी छ। 
आनन्द जि यो कुरा बोलि दिनु पर्यो प्रधानमन्त्री  भाषा र पद्धति अनुसार बोल्न नसक्ने भएकाले यो अवस्था आएको हो।

अब रबि नै प्रधानमन्त्री भएमा राम्रो। हामी लाई रासपा भन्न पनि लाज भयो।",0,2026-05-14T08:02:20Z
@MrKewalrai,"केपी, गगन, सुदन, आले, हर्के सबै बोलेर बिग्रेका हुन् र बोल्नुपर्छ भन्ठान्छन् तर बिना बोलीको मात्रै काम गरेपनि हुन्छ। हाम्रो देशमा बोली होइन काम चाहिएको हो। हर्के भनेको केपी स्कुलिङका झड्केला छोरा हुन्।",0,2026-05-14T07:33:15Z
@ReactionButton,"Thik garyo harka sampang le. Naya veda haruko gothalo lai thik parna parcha. Yo last PM haina nepal ko, tesaile samsad ko niyam padati lai jibit rakhna parcha, afno sur garney vae arulai PM banaera afule power rakhey hunthyo ta. PM nai kina banna pareko yo lovi ko vado chasma launey lai.",0,2026-05-14T07:11:49Z
@siddhant104,Yo harke ko kaam nai chhaina hau... Aati garisakyo...,3,2026-05-14T07:07:28Z
@gopronepal9579,Harke Baulayo,1,2026-05-14T07:01:47Z
@SrijanRai-g9n,"यस्तै हुन्छ गाँजडीलाई प्रधानमन्त्री बनाएपछि 😅
कहिले राष्ट्रपति बोल्दै गर्दा बीचमै निस्किन्छ, कहिले बैठकमै उपस्थित हुँदैन।
आजसम्म एकपटक पनि जनतासामु आएर देशको अवस्था र समस्याबारे सम्बोधन गरेको छैन।
जनताको आशा र भरोसामाथि खेल्ने यस्तो पनि प्रधानमन्त्री हुन्छ र? 😅",2,2026-05-14T06:36:04Z
@Meandyouvlog14,Yesori mantri bhaye paxi vagaude   paan dekhanu ramro hoina yetkai waste of time bhai rakheko xa,1,2026-05-14T06:30:29Z
@core_uzi,"Is this even appropriate? Such undiciplined, unmannered and zero respect towards Parliament members using words like gar, han,nar what's this threats for? Is this all to teach new generations how government works ? Ashamed harke and toli....they don't even fit in.... at least ex politicians were decorated, mannered and disciplined then these new sheeps of harka camp..
See harke mentality for Future generations...",7,2026-05-14T06:20:21Z
