author,text,likes,published_at
@AmbikaBhatta-up4ot,केपी ओली बा छल्न नखोजे हुन्छ अब जनता लाटा छैनन् बुझ्नुपर्छ जनता र स्कुले विद्यार्थी लाइ ताकी ताकी गोली प्रहार गर्न लगाउने तपाइ हरू भन्न पर्दा तपाईं हरू नरपिस भनेर जनताले चुनेका छौ आजिवन जेल हुनु पर्छ एदी देशको जिम्वेवारी हुने भनेको के हो जनता हैन चौबिस गते सबै प्रमाण मेटाउन को लागी एमाले कांग्रेस माओवादी का षडयन्त्र हो जनता लाई थाहा छ कुरा जति घुमाए पनि कुरा तेही हो नरसम्भार हुनु तपाइँ हरूको हात छ नमानी सुखै छैन नि,0,2026-03-31T10:48:41Z
@DhanSunar-b2q,chor  buda,0,2026-03-30T16:13:20Z
@khadanandalamichhane9398,Tayari questions tayari answer.,0,2026-03-30T06:58:53Z
@BayanLama-v7r,प्रमुख नेतृत्व जिम्मेवारिमा आफु दोषआरुले लिनु पर्ने।,0,2026-03-29T21:59:58Z
@BhimaBista-fj3wo,तजेनं माराहो केपि चोर,0,2026-03-29T19:43:46Z
@rajadhikari2117,केपि ओलि फगत को हो जस्तो त लाग्थयो तर यो अन्तर्वाता हेरे पछि त निधो नै भो यति बिजोक को बिचार भाको मान्छे लाई देश को प्रमुख बनाउने नेपालि नै गलत हो।,2,2026-03-28T23:42:14Z
@twogirls-m9d,केबुली नै हो यो गोले हान्,0,2026-03-26T16:26:31Z
@NarayanKc-ki7vw,भवितब्य सरखार निर्माण गर्ने वातावरण कस्ले निम्त्याए को हो? काम्रेड ति मारीयका  बाल बालिका के खेलौना हुन्?वा देशका जनता खेलौना हुन्?,1,2026-03-26T16:18:46Z
@lalitgurung-d6m,हत्त्यार के पि ओलि नै हो आन्दोलनलाई सहमतिमा ल्याउनु पर्दैन बेकुफ नालाइक गमण्डी मनुवा!!,0,2026-03-26T15:37:26Z
@girichamar2833,Yoto chor haruko,0,2026-03-26T03:47:42Z
@bhaiyathapa4392,हो हो मास्टर को टाउको काटेको त अरु कुनै ले काट्यो होला है हत्यारा,0,2026-03-25T16:26:44Z
@YuktaPrasadShrestha,त  नपुङ्स  फतहा  जतापनी  कुरामिलाउन  सिपालु लाइफासिको  सजाये  हुनुपर्छ   तलाइ  इस्वर्ले  पनि  नछोदुन  त  ज्यानमारालाइ  जये राज तन्त्र  जये नेपाल,0,2026-03-25T16:20:07Z
@ramgurung8516,कैलाश सिरोहियाको कान्तिपुर बहिष्कार गरौं।,0,2026-03-25T06:55:22Z
@tikarijal2466,Bhagua bro...,0,2026-03-23T17:09:34Z
@PardeshiSainla-m9s,३६ वर्ष देखि देश र जनता लुटेको चैं कहाँ गयो ? यो सब गराउने को को हो ? जनताले त पहिल्यै देखि‌ वार्निंङ् देका थिएनन् र?,0,2026-03-23T15:33:57Z
@PardeshiSainla-m9s,ए गिदी कुइएका पटमुर्ख ३६ वर्ष देखि देशलाई हरिकंकाल र जनतालाई विदेशीको‌ दास बन्न् बाध्य पारेकाले सारा जनता पहिल्यै देखि रुष्ट छन् भन्ने थाह थिएन ?,0,2026-03-23T15:09:30Z
@UdayaDhungana-b4b,गाेलिहान्ने अादेश प्र धानमन्त्रि लाई थाहानभयर अरू लाई हुदैन सबभन्दा बढि कारबाहि केपि लाई नैहुनुपछं,0,2026-03-22T17:21:30Z
@krishnakhanal1904,yo hatyara ho aadamkhor ho,0,2026-03-21T04:18:53Z
@rameshrana5797,IDBI personal Gandhi personal,0,2026-03-21T01:38:00Z
@gireeprasadsunar6022,Yestaa murkh laai pm banayeko rahechham 😢😢😢😢😢😢😢😢😢,0,2026-03-21T00:07:27Z
@SharbahadurGurung-zt8bu,"KP OLI KO DIMAK
ABA AFNAI KHOLTI MA RAKHERA PARIRAHANU.
GEN Z MARNE APARADI HARU LE NA MAREKO BHAE AILE HUNE NA HUNE KURA BANAERA KP OLI PATRAKAR SITA 
KURA BANAERA BOLNU PARDAIN 
THYOU.",0,2026-03-18T08:10:53Z
@yograjpandey-ranjan485,यो पागल ले अरुलाई दोष दियर आफू असल साबित गर्न खोजेर नै अहिले को चुनाव ले यसलाई उठ्न नसक्ने गरी सुतायो।,0,2026-03-17T15:47:27Z
@HemrajRegmi-h6h,bagauda pmmahakali bechis,0,2026-03-17T15:32:01Z
@HemrajRegmi-h6h,laz chaena talae? hijo kina banda garis wifi ? karan tehi ho badi gaf na hak,0,2026-03-17T15:31:14Z
@khattambahun8866,छोराले बाउको अन्तर्वार्ता लिएको जस्तो छ।😂😂😂,0,2026-03-17T15:02:54Z
@sabitripandit2863,Parden,0,2026-03-17T14:10:21Z
@BkNepali-hd9sg,निष्पक्ष छानविन आयोग भनेको एमाले को पक्षमा राम्रो नतिजा ल्याउने आयोग हैन त बाजे😂😂,0,2026-03-16T07:50:06Z
@HaridattaPaudel-j7s,झुट को गुरु नै केपिवलि हुन,0,2026-03-14T07:22:07Z
@HiHi-d7e4t,Jhutko kheti vli prbiti,0,2026-03-13T15:37:30Z
@MadaraUchiha-o1q6e,Saptarima Amaleko kaykrm nosed diyo kasari KP gyo,0,2026-03-11T16:17:41Z
@MadaraUchiha-o1q6e,KP gonda ho,0,2026-03-11T16:15:23Z
@durgalimbu6513,बाले  याे  अबस्थाकाे   जेरेसन   नबुजेकाेहाे    वा  भनाई    जनताले   कुनठाउमा    गरेछन     देखाए  हुनथ्याे,0,2026-03-11T15:44:49Z
@urmilakc1728,"तिमो,अहम र  बचाहेरुलाइ पढनपनिनपनउनु देसलुटेरखानेमाऋ काम कुनहालतमाआयर  कुन किसिमलेकमायशौ दरबार गाडिबँगला खडा नेताले लुटनसँमलुटेरखायौ यसताजानमाराकोकुरा हाािसुनदैनौ",0,2026-03-11T14:38:32Z
@urmilakc1728,"तिमो,अहमरघमनडत देखिसकेजनताले जेनजिमारेर सुखपाइदैन  जानमारानैहो",0,2026-03-11T14:33:05Z
@urmilakc1728,"हताराकोकुरासुन,मनछैन बिरवभरि थाछदैछ",0,2026-03-11T14:31:28Z
@urmilakc1728,कुरचिकोमोह आलोपालोगरेरखाने सहिहो चलानभनिचलायनखहेपापिषट  जेनजिमारेर नपुगेर निरदोसराजालाइ भाइमाराकोआरोपपनिलायौ,0,2026-03-11T14:30:02Z
